,0,1,2,3,4,5,6,7
0,2fa9ee19-5c51-4281-abdd-eac8663f9b49,189,48.67724867724868,44,47,53,45,11.97883597883598
1,1f9ca490-2f25-484a-8972-d60922b41f6f,178,44.38202247191011,49,37,50,42,13.07865168539326
2,06936a64-6c08-40e9-8a10-0fbc74812c89,201,47.2636815920398,44,52,62,43,6.54228855721393
3,d6a555a1-d8dd-4e55-936f-ade7c78d9d38,198,47.97979797979798,51,52,52,43,10.636363636363637
4,91ca9c6c-12fe-4255-83cc-96ba4d39ac4b,159,50.943396226415096,30,44,48,37,12.339622641509434
5,4dbe5037-abe2-4176-88db-32cc336a67fb,202,45.54455445544554,46,48,64,44,11.658415841584159
6,df3de4e9-48ca-45fc-83f4-02d7f066a41a,186,47.31182795698925,44,42,54,46,13.93010752688172
7,bfde9b59-2f6d-48e8-8f8f-e45003fb275b,213,51.64319248826291,45,56,58,54,12.971830985915492
8,dbcfd59a-7a96-46a2-9356-3fb8b8d288b3,205,46.34146341463415,50,50,60,45,6.521951219512195
9,a0f83c4e-4c20-4c15-b048-812fdf2a3de3,203,41.37931034482759,56,41,63,43,10.679802955665025
10,66772562-7f81-4593-8a4d-e7378ed98c4f,213,48.82629107981221,39,60,70,44,10.11737089201878
11,4a9b5ab1-840c-4617-89a3-791bec13ef49,211,45.497630331753555,54,45,61,51,10.938388625592417
12,cc794584-a814-49c7-890f-9eebab2fe45f,204,39.21568627450981,63,43,61,37,9.901960784313726
13,0a10e969-a506-48aa-bf52-a414f72ccb63,216,49.074074074074076,51,56,59,50,11.824074074074074
14,fc7f3bc9-c235-4d80-b3c2-a47a5b16f585,219,50.22831050228311,53,55,56,55,13.840182648401827
15,6d72a262-e132-42cc-97be-37f0df800ace,182,50.0,45,48,46,43,11.67032967032967
16,f7678f77-ca68-4b95-a3dc-aef5b0f9b851,201,48.756218905472636,39,54,64,44,10.746268656716419
17,670e3c81-d204-475a-ad46-01e07c28e32c,368,48.09782608695652,90,89,101,88,10.361413043478262
18,0f43f73a-ffb6-494e-a9fb-065e3ce1361a,193,45.59585492227979,41,52,64,36,13.248704663212436
19,a8e68d5f-7030-4ffd-9768-330b80ce37af,201,47.2636815920398,46,48,60,47,10.597014925373134
20,a9ace922-25a0-469d-ac24-70cbc06c751f,203,45.8128078817734,51,50,59,43,12.600985221674877
21,21d19cdf-34c0-4c75-82e6-f56fe6b46421,210,49.04761904761905,51,54,56,49,10.371428571428572
22,bfbe2d60-0c5e-42aa-bb6f-1a600e796615,184,51.630434782608695,35,51,54,44,13.581521739130435
23,2073c0f3-fd22-4836-a289-f32277b78f44,205,48.78048780487805,52,47,53,53,6.663414634146341
24,ff6ae319-f25b-49d4-82d8-281af37fdd9e,197,50.253807106598984,40,54,58,45,12.83756345177665
25,a1998dbe-9fc6-4291-8a2a-1b5ccdd562ee,195,46.15384615384615,50,45,55,45,12.22051282051282
26,ca2f2571-68ec-4238-8922-1d040b15b1a6,206,41.74757281553398,50,49,70,37,10.475728155339805
27,bdffc93e-5d5c-40b8-b9dc-3d9e42deaca1,211,44.07582938388626,52,55,66,38,10.28436018957346
28,fa3342e6-93c4-4030-8e7a-beda219fca68,191,47.12041884816754,42,53,59,37,11.722513089005236
29,5eefdbf5-85d9-4d1c-9598-c0d77ab2d183,186,52.68817204301075,38,53,50,45,9.080645161290322
30,48776b8a-2ea0-4cc9-afc1-af405749d906,197,44.16243654822335,46,45,64,42,9.868020304568528
31,db27dae0-360e-4621-9b6a-d85326485458,226,45.13274336283186,53,54,71,48,8.29203539823009
32,7894a959-8441-4e63-acff-d3ca77686f4e,200,49.0,46,49,56,49,14.16
33,4caf3736-9850-4292-81fb-c8555f08ae09,221,48.41628959276018,54,56,60,51,9.036199095022624
34,80b29765-643e-4a81-9c36-9d4b1f798971,205,48.78048780487805,51,56,54,44,11.526829268292683
35,852b0cee-b963-4d0f-ae63-15d8d5014709,214,50.0,55,51,52,56,14.205607476635514
36,17ab8ca2-28d7-467e-9046-b3e1fc1cc581,215,45.58139534883721,51,47,66,51,10.46046511627907
37,3f378143-951f-431b-b6dc-a71d62a6914e,213,45.539906103286384,50,53,66,44,12.87793427230047
38,62067c94-c394-4668-bdc2-ebd5242f195a,210,49.523809523809526,45,51,61,53,8.642857142857142
39,902b89bd-3e04-48e5-af70-08d7582411c6,213,47.88732394366197,46,57,65,45,13.96244131455399
40,7d14c305-e50e-494f-b277-9039d83c1ce0,200,47.5,50,50,55,45,8.24
41,9d8c894c-73b4-4c6f-813b-bdfa9f4ffa51,205,48.292682926829265,48,52,58,47,10.839024390243903
42,ac743b61-7d06-462b-97f3-408f6d60fd2a,207,44.44444444444444,52,46,63,46,12.396135265700483
43,28c83abf-8f04-4651-a6c5-b35013fcd2fd,212,52.83018867924528,39,66,61,46,8.075471698113208
44,ab0deed6-8a5a-445b-808d-7650a7d92f00,218,43.11926605504587,58,49,66,45,8.655963302752294
45,88b7bc4f-72b0-496b-86e1-8943ac2da269,188,46.808510638297875,48,47,52,41,13.372340425531915
46,69f26277-fc43-46c6-abdf-5a0850366003,190,45.26315789473684,51,42,53,44,11.921052631578947
47,a9005d6f-1d3e-4e4d-b2d5-38371780f913,184,50.0,36,49,56,43,13.869565217391305
48,f61f01c7-a61c-4189-b3ad-27f0ab09af8f,211,42.18009478672986,57,43,65,46,11.388625592417062
49,1b64424f-8d61-4ff2-9268-8c43bcc53016,201,44.27860696517413,50,42,62,47,10.91542288557214
50,14ef9b9a-1930-4450-9d23-4b10a3cbc15d,194,44.329896907216494,53,51,55,35,9.335051546391753
51,f4ff7b9a-fcd6-4e2f-b505-fe9e46bf8141,227,49.779735682819386,52,60,62,53,10.286343612334802
52,c1e1b05b-f54a-43e9-84da-f98e51ed53c6,211,46.91943127962085,51,51,61,48,12.928909952606634
53,ad386a11-9e50-4339-b517-7bef012f5f51,215,45.116279069767444,57,48,61,49,10.2
54,bc021eff-6fc3-438d-b471-3f5cc9fa32e0,172,47.674418604651166,40,43,50,39,13.075581395348838
55,a630bc9b-3cfe-4929-80f3-cff5f8b65839,194,47.93814432989691,46,47,55,46,12.690721649484535
56,4dc21772-3451-4bcd-a17d-e3caba795997,217,47.465437788018434,57,51,57,52,13.654377880184331
57,0aeba9bc-103d-41f8-9a39-df7570574339,216,45.833333333333336,62,49,55,50,11.625
58,666246b0-63b1-46b1-8f2c-7d19d10adde3,196,52.04081632653061,42,60,52,42,11.204081632653061
59,2b448f84-1ba7-44cb-9dbd-1c66673d09b2,224,45.535714285714285,57,54,65,48,10.607142857142858
60,8f92af5b-e559-4f89-9282-a7e45c55c221,190,45.26315789473684,49,45,55,41,9.763157894736842
61,c1bd65c1-e3bb-40e3-848e-56b9b5a39536,183,53.005464480874316,41,55,45,42,12.174863387978142
62,82439560-2fce-4682-94ba-4864a54c4178,231,47.61904761904762,55,56,66,54,9.623376623376624
63,6a253e78-1edd-4de9-a991-17df1ef351e7,188,50.0,43,49,51,45,10.648936170212766
64,2a4dc96c-8035-49a6-9a8b-84eb021a2f62,362,44.19889502762431,87,87,115,73,7.8397790055248615
65,535d1546-a8e1-47e8-a5a8-95ee76ec62aa,206,46.601941747572816,54,48,56,48,12.645631067961165
66,56a467a1-5996-4116-ad50-21a2c3ec4c2b,217,45.16129032258065,49,57,70,41,10.216589861751151
67,ec300706-c633-47b9-bf8a-170d48f92279,227,41.85022026431718,60,47,72,48,10.54625550660793
68,d2565541-9ce2-4e6d-b246-acffc58aa637,190,49.473684210526315,39,48,57,46,14.215789473684211
69,178be447-08e6-4de1-b7b5-aa2e70dcf46d,207,39.130434782608695,56,44,70,37,7.381642512077295
70,a762f9ef-970a-43d5-bf1d-12ac954a145b,1469,55.95643294758339,362,426,285,396,14.20217835262083
71,c22f8544-b4ed-443b-bbe9-c27a3113e524,201,51.243781094527364,42,57,56,46,10.532338308457712
72,02511890-ee37-41f6-ae18-5c045e5f37b7,217,52.995391705069125,37,64,65,51,11.423963133640553
